graph_id,model,top_edge_fraction,empirical_edges,candidate_edges,shared_edges,jaccard,precision,recall,f1
0,Raw,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
0,MLP,0.1,400,400,49,0.06524633821571238,0.1225,0.1225,0.1225
0,GIN,0.1,400,400,70,0.0958904109589041,0.175,0.175,0.175
0,GAT,0.1,400,400,60,0.08108108108108109,0.15,0.15,0.15
1,Raw,0.1,400,400,58,0.07816711590296496,0.145,0.145,0.145
1,MLP,0.1,400,400,43,0.05680317040951123,0.1075,0.1075,0.10749999999999998
1,GIN,0.1,400,400,49,0.06524633821571238,0.1225,0.1225,0.1225
1,GAT,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
2,Raw,0.1,400,400,67,0.09140518417462483,0.1675,0.1675,0.1675
2,MLP,0.1,400,400,39,0.051248357424441525,0.0975,0.0975,0.0975
2,GIN,0.1,400,400,77,0.10650069156293222,0.1925,0.1925,0.19249999999999998
2,GAT,0.1,400,400,56,0.07526881720430108,0.14,0.14,0.14
3,Raw,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
3,MLP,0.1,400,400,38,0.049868766404199474,0.095,0.095,0.095
3,GIN,0.1,400,400,24,0.030927835051546393,0.06,0.06,0.06
3,GAT,0.1,400,400,75,0.10344827586206896,0.1875,0.1875,0.1875
4,Raw,0.1,400,400,63,0.08548168249660787,0.1575,0.1575,0.1575
4,MLP,0.1,400,400,40,0.05263157894736842,0.1,0.1,0.10000000000000002
4,GIN,0.1,400,400,33,0.04302477183833116,0.0825,0.0825,0.0825
4,GAT,0.1,400,400,64,0.08695652173913043,0.16,0.16,0.16
5,Raw,0.1,400,400,70,0.0958904109589041,0.175,0.175,0.175
5,MLP,0.1,400,400,44,0.0582010582010582,0.11,0.11,0.11
5,GIN,0.1,400,400,62,0.08401084010840108,0.155,0.155,0.155
5,GAT,0.1,400,400,65,0.08843537414965986,0.1625,0.1625,0.1625
6,Raw,0.1,400,400,59,0.0796221322537112,0.1475,0.1475,0.1475
6,MLP,0.1,400,400,47,0.06241699867197875,0.1175,0.1175,0.1175
6,GIN,0.1,400,400,73,0.10041265474552957,0.1825,0.1825,0.18249999999999997
6,GAT,0.1,400,400,51,0.06809078771695594,0.1275,0.1275,0.1275
